,episode_ref,date,castaway_ref,name,std_name,gender,profession,country_of_citizenship,place_of_birth,country_of_birth,date_of_birth,favTrack,luxury,book,wiki_link,link,year,wiki_id,disability_status
1996,1162,1991-12-13,2717,Sue Townsend,sue townsend,female,"['writer', 'author', 'creator', 'professional']",United Kingdom,Leicester,United Kingdom,1946-04-02,Violin Concerto in D major by Pyotr Ilyich Tchaikovsky,Swimming pool of champagne,Lucky Jim - Kingsley Amis,https://en.wikipedia.org/wiki/Sue_Townsend,https://www.bbc.co.uk/programmes/p0093yl0,1991,Sue_Townsend,True
2032,1119,1992-12-27,2691,Stephen Hawking,stephen hawking,male,"['theoretical physicist', 'physicist', 'scientist', 'researcher', 'creator', 'professional']",United Kingdom,Oxford,United Kingdom,1942-01-08,Requiem in D minor by Wolfgang Amadeus Mozart,Creme brulee,Middlemarch - George Eliot,https://en.wikipedia.org/wiki/Stephen_Hawking,https://www.bbc.co.uk/programmes/p0093xb2,1992,Stephen_Hawking,True
2057,1115,1993-09-10,868,Evelyn Glennie,evelyn glennie,female,"['composer', 'musician', 'artist', 'professional']",United Kingdom,Aberdeen,United Kingdom,1964-07-19,Piano Concerto No. 2 in C minor by Sergey Rachmaninov,Chocolate,Way of the Peaceful Warrior - Dan Millman,https://en.wikipedia.org/wiki/Evelyn_Glennie,https://www.bbc.co.uk/programmes/p0093x6y,1993,Evelyn_Glennie,True
2060,1092,1993-10-01,1660,Lord Palumbo,palumbo,,,,,,,Symphony No. 2 in C minor 'Resurrection' -5th movement by Gustav Mahler,Telescope,On The Road - Jack Kerouac,https://en.wikipedia.org/wiki/Lord_Ashley_of_Stoke,https://www.bbc.co.uk/programmes/p0093wqf,1993,Lord_Ashley_of_Stoke,True
2096,1080,1994-09-09,1998,Oliver Sacks,oliver sacks,male,"['writer', 'author', 'creator', 'professional']",United Kingdom,Willesden,United Kingdom,1933-07-09,Mass in B minor  - Et in carnaus est by Johann Sebastian Bach,Scuba diving kit,Dictionary of Musical Themes,https://en.wikipedia.org/wiki/Oliver_Sacks,https://www.bbc.co.uk/programmes/p0093r1l,1994,Oliver_Sacks,True
2135,1065,1995-08-18,2587,Sir John Wilson,john wilson,male,,,,,,Mass in B minor  - Sanctus by Johann Sebastian Bach,A sonic probe,A chess strategy book (in brail),https://en.wikipedia.org/wiki/Sir_John_Wilson,https://www.bbc.co.uk/programmes/p0093qm9,1995,Sir_John_Wilson,True
2157,994,1996-03-08,2404,Rt Hon Gordon Brown MP,gordon brown,male,"['politician', 'professional']",United Kingdom,Giffnock,United Kingdom,1951-02-20,Suite No. 3 in D major by Johann Sebastian Bach,Tennis ball machine and racket,The Story of Art - Sir Ernst Gombrich,https://en.wikipedia.org/wiki/Gordon_Brown,https://www.bbc.co.uk/programmes/p0093nrg,1996,Gordon_Brown,True
2209,939,1997-06-27,852,Eric Sykes,eric sykes,male,"['screenwriter', 'writer', 'author', 'creator', 'professional']",United Kingdom,Oldham,United Kingdom,1923-05-04,Hallelujah Chorus (from Messiah) by George Frideric Handel,A sand wedge golf club and a crate of golf balls,Ripley's Believe It Or Not - Ripley,https://en.wikipedia.org/wiki/Eric_Sykes,https://www.bbc.co.uk/programmes/p009447g,1997,Eric_Sykes,True
2336,962,2000-03-31,1148,Ian Dury,ian dury,male,"['actor', 'performing artist', 'artist', 'professional']",United Kingdom,London Borough of Harrow,United Kingdom,1942-05-12,Ramblin by Ornette Coleman,Mixing Desk - Solar Powered,Macmillan Dictionary of Art,https://en.wikipedia.org/wiki/Ian_Dury,https://www.bbc.co.uk/programmes/p0093n4m,2000,Ian_Dury,True
2381,777,2001-04-13,2740,Tanni Grey Thompson,tanni grey thompson,female,,,,,,"Knowing Me, Knowing You by Steve Coogan",Five juggling balls,A guide to edible foods on a desert island,https://en.wikipedia.org/wiki/Tanni_Grey_Thompson,https://www.bbc.co.uk/programmes/p00948z1,2001,Tanni_Grey_Thompson,True
2528,628,2004-12-10,331,Sir Bobby Robson,bobby robson,male,,,,,,It Was a Very Good Year by Robbie Williams & Frank Sinatra,Sun lounger with canopy to protect him from the sun,The works of historian John Keegan: The First World War & the Second World War collected into one volume - John Keegan,https://en.wikipedia.org/wiki/Sir_Bobby_Robson,https://www.bbc.co.uk/programmes/p009367v,2004,Sir_Bobby_Robson,True
2561,596,2005-10-07,903,Frank Gardner,frank gardner,male,"['journalist', 'media professional', 'professional']",United Kingdom,Hampstead,United Kingdom,1961-07-31,Concerto No. 2 - 3rd movement by Johann Sebastian Bach,A solar-powered buggy,A Passage to India - E.M Forster,https://en.wikipedia.org/wiki/Frank_Gardner_(journalist),https://www.bbc.co.uk/programmes/p00935dk,2005,Frank_Gardner_(journalist),True
2697,457,2009-02-06,2772,Thomas Quasthoff,thomas quasthoff,male,"['singer', 'vocalist', 'musician', 'artist', 'professional']",Germany,Hildesheim,Germany,1959-11-09,Symphony No. 5 in C sharp minor- 4th movement (Adagietto) by Gustav Mahler,Good wine,Long Walk to Freedom - Nelson Mandela,https://en.wikipedia.org/wiki/Thomas_Quasthoff,https://www.bbc.co.uk/programmes/b00h4d2l,2009,Thomas_Quasthoff,True
2708,446,2009-05-29,239,Barry Humphries,barry humphries,male,"['comedian', 'actor', 'performing artist', 'artist', 'professional']",Australia,Melbourne,Australia,1934-02-17,"They are not long, the weeping and the laughter (from Songs of Sunset) by Frederick Delius",My paints,The Melbourne Street Directory,https://en.wikipedia.org/wiki/Barry_Humphries,https://www.bbc.co.uk/programmes/b00khkxy,2009,Barry_Humphries,True
2841,311,2012-08-10,225,Baroness Campbell,baroness campbell,,,,,,,Fotheringay by Fairport Convention,A customised wheelchair,A very large atlas,https://en.wikipedia.org/wiki/Baroness_Campbell_of_Surbiton,https://www.bbc.co.uk/programmes/b01lh96q,2012,Baroness_Campbell_of_Surbiton,True
2844,308,2012-10-05,15,Ade Adepitan,ade adepitan,male,"['basketball player', 'athlete', 'sportsperson']",United Kingdom,,,1973-03-27,Be with You by Linda Harrison,A basketball court with hoop and ball,Chronicles of The Lensmen by E.E. Smith - E E Smith,https://en.wikipedia.org/wiki/Ade_Adepitan,https://www.bbc.co.uk/programmes/b01n0t5n,2012,Ade_Adepitan,True
2888,264,2013-10-18,437,Chris Packham,chris packham,male,"['naturalist', 'erudite']",United Kingdom,Southampton,United Kingdom,1961-05-04,Shout Above the Noise by Penetration,Binoculars,The complete works - F. Scott Fitzgerald,https://en.wikipedia.org/wiki/Chris_Packham,https://www.bbc.co.uk/programmes/b03cd94y,2013,Chris_Packham,True
2993,163,2016-03-18,2929,Yinka Shonibare,yinka shonibare,male,"['photographer', 'visual artist', 'artist', 'professional']",Nigeria,London,Roman Empire,1962-01-01,Whats Going On by Marvin Gaye,Pen and paper,Gulliver's Travels by Jonathan Swift,https://en.wikipedia.org/wiki/Yinka_Shonibare,https://www.bbc.co.uk/programmes/b0735y62,2016,Yinka_Shonibare,True
3002,155,2016-06-17,2888,Warwick Davis,warwick davis,male,"['actor', 'performing artist', 'artist', 'professional']",United Kingdom,Epsom,United Kingdom,1970-02-03,Monsters Theme by Jon Hopkins,Pen & paper,The Guinness Book of Records,https://en.wikipedia.org/wiki/Warwick_Davis,https://www.bbc.co.uk/programmes/b07ff0hj,2016,Warwick_Davis,True
3022,135,2016-12-09,2628,Sir Philip Craven,philip craven,male,"['basketball player', 'athlete', 'sportsperson']",United Kingdom,Bolton,United Kingdom,1950-07-04,Going Home (Theme of the Local Hero) by Mark Knopfler,,,https://en.wikipedia.org/wiki/Philip_Craven,https://www.bbc.co.uk/programmes/b0848q7q,2016,Philip_Craven,True
