category
Actors with disabilities
Actors with dwarfism
Alumni of the Royal National College for the Blind
American people with disabilities
Artists with disabilities
Athletes (track and field) at the 1972 Summer Paralympics
Athletes (track and field) at the 1988 Summer Paralympics
Athletes (track and field) at the 1992 Summer Paralympics
Athletes (track and field) at the 1996 Summer Paralympics
Athletes (track and field) at the 2000 Summer Paralympics
Athletes (track and field) at the 2004 Summer Paralympics
Blind academics
Blind musicians
Blind politicians
Blind writers
British blind people
British men's wheelchair basketball players
British people with disabilities
British politicians with disabilities
Classical musicians with disabilities
Deaf actresses
Deaf artists
Deaf association football players
Deaf classical musicians
Deaf politicians
Deaf royalty and nobility
Deaf television personalities
Deaf writers
English blind people
English deaf people
English people with disabilities
Entertainers with dwarfism
German people with disabilities
Indian blind people
International Paralympic Committee members
Male deaf actors
Olympic wheelchair racers of Great Britain
Paralympic bronze medalists for Great Britain
Paralympic gold medalists for Great Britain
Paralympic medalists in athletics (track and field)
Paralympic medalists in wheelchair basketball
Paralympic silver medalists for Great Britain
Paralympic swimmers of Great Britain
Paralympic wheelchair basketball players of Great Britain
Paralympic wheelchair racers
People with Asperger syndrome
People with dwarfism
Royalty and nobility with disabilities
Scientists with disabilities
Scottish deaf people
Sportswomen with disabilities
Television presenters with disabilities
Welsh female wheelchair racers
Welsh people with disabilities
Wheelchair basketball players at the 1972 Summer Paralympics
Wheelchair basketball players at the 1976 Summer Paralympics
Wheelchair basketball players at the 1980 Summer Paralympics
Wheelchair basketball players at the 1984 Summer Paralympics
Wheelchair basketball players at the 1988 Summer Paralympics
Wheelchair basketball players at the 2004 Summer Paralympics
Wheelchair category Paralympic competitors
Wheelchair racers at the 1992 Summer Olympics
Wheelchair racers at the 1996 Summer Olympics
Wheelchair racers at the 2000 Summer Olympics
Wheelchair racers at the 2004 Summer Olympics
Wheelchair users
Writers with disabilities
